"subscriptionId";"mgPath";"type";"id";"name";"location";"tags";"createdTime";"changedTime";"cafResourceNamingResult";"cafResourceNaming";"cafResourceNamingFriendlyName"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.dataprotection/backupvaults";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/aks-storage-investigation/providers/microsoft.dataprotection/backupvaults/bvault-storage-test-euw-01";"bvault-storage-test-euw-01";"westeurope";"";"12/07/2023 14:01:37";"12/07/2023 14:11:50";"failed";"bv-";"Backup vault"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.storage/storageaccounts";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/cloud-shell-storage-westeurope/providers/microsoft.storage/storageaccounts/csb100320021c628af6";"csb100320021c628af6";"westeurope";"@{ms-resource-usage=azure-cloud-shell}";"12/13/2022 09:24:57";"12/13/2022 09:35:20";"failed";"st, stvm";"Storage account, VM storage account"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/natgateways";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/integration-test-rg/providers/microsoft.network/natgateways/integration-test-natgw";"integration-test-natgw";"westeurope";"";"09/13/2023 11:30:39";"09/13/2023 11:40:55";"failed";"ng-";"NAT gateway"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/publicipaddresses";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/integration-test-rg/providers/microsoft.network/publicipaddresses/integration-test-pip";"integration-test-pip";"westeurope";"";"09/13/2023 11:30:39";"09/13/2023 11:40:43";"failed";"pip-";"Public IP address"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/virtualnetworks";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/integration-test-rg/providers/microsoft.network/virtualnetworks/integration-test-vnet";"integration-test-vnet";"westeurope";"";"09/13/2023 11:30:39";"09/13/2023 11:40:44";"failed";"vnet-";"Virtual network"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/networkwatchers";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/networkwatcherrg/providers/microsoft.network/networkwatchers/networkwatcher_eastus";"networkwatcher_eastus";"eastus";;"11/29/2023 18:54:28";"11/29/2023 19:04:30";"failed";"nw-";"Network Watcher"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/networkwatchers";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/networkwatcherrg/providers/microsoft.network/networkwatchers/networkwatcher_swedencentral";"networkwatcher_swedencentral";"swedencentral";;"06/14/2024 14:26:54";"06/14/2024 14:36:55";"failed";"nw-";"Network Watcher"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/networkwatchers";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/networkwatcherrg/providers/microsoft.network/networkwatchers/networkwatcher_westeurope";"networkwatcher_westeurope";"westeurope";;"08/12/2022 14:04:08";"08/12/2022 14:14:08";"failed";"nw-";"Network Watcher"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.managedidentity/userassignedidentities";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/rg-github/providers/microsoft.managedidentity/userassignedidentities/umi-github-actions-2";"umi-github-actions-2";"swedencentral";"";"08/22/2024 08:02:31";"08/22/2024 08:12:32";"failed";"id-";"Managed Identity"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/dnszones";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/rg-kjmn-weu-prod-01/providers/microsoft.network/dnszones/kjmn.tech";"kjmn.tech";"global";"";"03/28/2023 13:35:56";"03/28/2023 19:16:55";"failed";"dnsz-";"DNS"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/networkinterfaces";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/rg-kjmn-weu-prod-01/providers/microsoft.network/networkinterfaces/storage-nic";"storage-nic";"westeurope";"";"09/29/2023 08:16:24";"09/29/2023 08:26:24";"failed";"nic-";"Network interface (NIC)"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.network/privateendpoints";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/rg-kjmn-weu-prod-01/providers/microsoft.network/privateendpoints/storage";"storage";"westeurope";"";"09/29/2023 08:16:12";"09/29/2023 08:26:43";"n/a";"n/a";"n/a"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.storage/storageaccounts";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/rg-kjmn-weu-prod-01/providers/microsoft.storage/storageaccounts/kjmntechstaticpub";"kjmntechstaticpub";"westeurope";"";"02/26/2024 10:15:16";"02/26/2024 10:25:38";"failed";"st, stvm";"Storage account, VM storage account"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.web/staticsites";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/rg-kjmn-weu-prod-01/providers/microsoft.web/staticsites/rg-kjmn-weu-prod-01";"rg-kjmn-weu-prod-01";"westeurope";"";"03/28/2023 13:30:51";"10/18/2023 12:04:52";"failed";"stapp-";"Static web app"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.storage/storageaccounts";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/rg-photobooth-euw-dev/providers/microsoft.storage/storageaccounts/staphotoboottheuwdev01";"staphotoboottheuwdev01";"westeurope";"";"05/05/2024 14:35:52";"05/05/2024 14:46:15";"passed";"st, stvm";"Storage account, VM storage account"
"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.storage/storageaccounts";"/subscriptions/d15e24d4-e2d6-426e-ad94-8789e6c09f7c/resourcegroups/rg-terraformbackend-weu-prod-01/providers/microsoft.storage/storageaccounts/statfbeweuprod01";"statfbeweuprod01";"westeurope";"";"03/28/2023 13:18:24";"03/28/2023 13:28:47";"passed";"st, stvm";"Storage account, VM storage account"
